question,option_a,option_b,dimension,a_value,b_value
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (8),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (8),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (8),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (9),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (9),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (9),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (9),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (10),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (10),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (10),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (10),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (11),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (11),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (11),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (11),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (12),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (12),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (12),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (12),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (13),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (13),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (13),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (13),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (14),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (14),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (14),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (14),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (15),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (15),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (15),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (15),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (16),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (16),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (16),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (16),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (17),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (17),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (17),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (17),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (18),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (18),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (18),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (18),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (19),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (19),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (19),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (19),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (20),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (20),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (20),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (20),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (21),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (21),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (21),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (21),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (22),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (22),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (22),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (22),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (23),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (23),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (23),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (23),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (24),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (24),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (24),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (24),برنامه‌ریزی,انعطاف,JP,J,P
در جمع‌های شلوغ انرژی می‌گیری یا تنهایی؟ (25),در جمع,تنهایی,EI,E,I
بیشتر به واقعیت توجه می‌کنی یا ایده‌ها؟ (25),واقعیت,ایده‌ها,SN,S,N
در تصمیم‌گیری منطق مهم‌تره یا احساس؟ (25),منطق,احساس,TF,T,F
برنامه‌ریزی رو ترجیح می‌دی یا انعطاف؟ (25),برنامه‌ریزی,انعطاف,JP,J,P
